CAMPAIGN_ID	PORTFOLIO_ID	TYPE	TARGETING_TYPE	BIDDING_STRATEGY	STATE	NAME	BRAND
108595374208246	277281150185930	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Form Essentials | Automatic | Close Match	Form Essentials
75160948084898	277281150185930	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Form Essentials | Automatic | New Features	Form Essentials
207735766468502	277281150185930	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Form Essentials | Automatic | Loose Match	Form Essentials
176627879968479	277281150185930	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Form Essentials | Automatics | Complements	Form Essentials
190633034941329	277281150185930	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Form Essentials | Automatic | Substitute	Form Essentials
13230244430782	183246781769573	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Probulin | Manual	Probulin
46682226694226	183246781769573	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Probulin | Automatic	Probulin
131003739640607	82868340636103	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Vitamin Discount Center | Manual | Granular	Vitamin Discount Center
23316041435177	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Artemisia - Convert Kwd	Bioray
176615872655901	102303734605909	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Body Vigor | Automatic | New	Body Vigor
240779726001559	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	BioRay - Brand Kwds - Professional - SP	Bioray
35085516465610	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	BioRay - Kids - Converted - SP	Bioray
12343307874512	102303734605909	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Body Vigor | Manual | New	Body Vigor
84216857745452	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Microbe Slayer - Converted	Bioray
37765371663279	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Mouth Rinse - Converted Kwd	Bioray
126851518614378	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	BioRay - Kids - Harvest - SP	Bioray
62716386215787	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Liver Lover - Converted Kwd	Bioray
99963027431950	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Mouth Rinse - Harvest	Bioray
95734360228598	33837461666148	sp	MANUAL	MANUAL	ARCHIVED	Bioray-NDF Plus-Converted Kwd	Bioray
185017034056145	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	BioRay NDF Plus - Harvest Kwds- SP	Bioray
77654716051904	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Cyflora - Convert Kwd	Bioray
239052103910230	33837461666148	sp	MANUAL	MANUAL	ARCHIVED	Bioray - loving energy - harvest kwd	Bioray
35801815729105	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	BioRay - Kids - Brand Kwds - SP	Bioray
265750836527293	33837461666148	sp	MANUAL	MANUAL	ARCHIVED	Bioray - belly mend - harvest kwd	Bioray
2851983285124	33837461666148	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	BioRay - Kids - Auto -SP	Bioray
83221811262055	33837461666148	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Bio Ray - Professional Line - Auto	Bioray
278993560357593	33837461666148	sp	MANUAL	MANUAL	ARCHIVED	Bioray - Primary Detox - Harvest	Bioray
65184668379692	213704367233929	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	FakeBake-Cosmetics-Harvest-SP-NB-Manual-Broad	Fake Bake
129361530073777	117327574906654	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B07L5R58QX - Clearlungs - Auto	Ridgecrest Herbals
63617117802720	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest-AllProducts-SP-Brand-Manual-Broad	Ridgecrest Herbals
82932925518366	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Ridgecrest - Migraine Relief - Harvest - SP	Ridgecrest Herbals
148829508975814	117327574906654	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Ridgecrest - Anxiety Free - Auto - SP	Ridgecrest Herbals
176322731607204	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B07L5R58QX-Clearlungs-Convert-SP-NB-Exact	Ridgecrest Herbals
178499900037054	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B01M4LTHV4-AnxietyFree-Harvest-SP-NB-Broad	Ridgecrest Herbals
121896794905490	117327574906654	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B00BVT3J02-ThyroidThrive-SP-NB-Auto	Ridgecrest Herbals
260443944800034	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B0061WH0GI - Hair Revive - Convert	Ridgecrest Herbals
230622407650824	213704367233929	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	FakeBake-AllTan-Convert-SP-NB-Manual-Exact	Fake Bake
69612130146586	117327574906654	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Ridgecrest - Migraine - Auto - SP	Ridgecrest Herbals
6244562178667	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	BioRay - Lady Passion - Harvest	Bioray
4603305239505	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B001DJ8DD8 - Adrenal Fatigue - Harvest	Ridgecrest Herbals
132212117442694	213704367233929	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	FakeBake-BrandKwds-SP-Brand-Manual-Broad	Fake Bake
15624883236761	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Liver Lover - Harvest Kwd	Bioray
178135615126057	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B0061WH0GI - Hair Revive - Harvest	Ridgecrest Herbals
20888532633103	117327574906654	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B0061WH0GI - Hair Revive - Auto	Ridgecrest Herbals
156018000802337	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B008JGIKQ8-BloodPressure-Convert-SP-NB-Exact	Ridgecrest Herbals
215774667988403	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B004R6523I - Liver Clean - Convert	Ridgecrest Herbals
69387405727021	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Ridgecrest - Kidney Aid - Harvest - SP	Ridgecrest Herbals
34075138604794	33837461666148	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Bioray - Cyflora - Harvest Kwd	Bioray
216095970600411	277281150185930	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Solus - Auto - SP	Form Essentials
135699884234314	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B004R6523I - Liver Clean - Harvest	Ridgecrest Herbals
120039958877282	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B07L5R58QX-Clearlungs-Harvest-SP-NB-Broad	Ridgecrest Herbals
213949240959999	183246781769573	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Probulin - Probiotic - Auto - SP	Probulin
46821481569376	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Ridgecrest - Blood Pressure  -Harvest - SP	Ridgecrest Herbals
206230597806115	117327574906654	sp	AUTO	LEGACY_FOR_SALES	ARCHIVED	Ridgecrest - Adrenal Fatigue - Auto - SP	Ridgecrest Herbals
35354431009536	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B001DJ8DD8-AdrenalFatigue-Convert-SP-NB-Exact	Ridgecrest Herbals
125765713576802	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B01M4LTHV4-AnxietyFree-Convert-SP-NB-Exact	Ridgecrest Herbals
241348354131336	117327574906654	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Ridgecrest - B008JGIKQ8 - Blood Pressure - Auto	Ridgecrest Herbals
141926290371734	117327574906654	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Ridgecrest-B00U5MPYH2-PhysiQOL-SP-NB-Auto	Ridgecrest Herbals
244804812650319	213704367233929	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	FakeBake-AllTan-Harvest-SP-NB-Manual-Broad	Fake Bake
87899731224421	117327574906654	sp	MANUAL	LEGACY_FOR_SALES	ARCHIVED	Ridgecrest - KidneyAid - Convert - SP	Ridgecrest Herbals
